ConfigurationName,Focal,Sex,Sex_2,Species,Species_2,OriginCode,Origin,LifeExperienceCode,LifeExperience,PhysicalHarmCode,PhysicalHarm,TypeRearingCode,TypeRearing,InfancySocialExposureCode,InfancySocialExposure,JuvenileSocialExposureCode,JuvenileSocialExposure,NutritionDepCode,NutritionDep,MotherSeparationCode,MotherSeparation,RelocationsCode,Relocations,EstimatedAgeArrivalCode,EstimatedAgeArrivalGroup,EstimatedCurrentAgeCode,EstimatedCurrentAgeGroup,EstimatedAgeArrival,EstimatedCurrentAge,YearsCenter,YearsZoo,YearsRescue,Years exposed to adversity,% of lifetime exposed to adversity (years),Self-directed,Postural,Self-abuse,Kinetic,Oral,Others,Genital self-inspection,Other self-directed behaviours,Scratching/ Rubbing,Self-groom,Yawning,Grooming,Other affiliative,Other agonistic,Social play,Rank,SociallyConfident(R),Lonely,BizarreBehaviours,NoPhysicalCoordinated,CommunicationSkills(R),(Not)EyeContact,Playful(R),SocialAvoidance,SociallyAwkward,RestrictedInterests,Stereotypes,SociallyTense,StaresIntoSpace,Species-typicalReaction(R)
P5,MrCrafty,a1,male,c2,Macaca_assamensis,d2,Wild,f1,3,o2,2,e2,2,g1,1,h1,1,n2,2,i1,2,m3,3,j2,14m-36m (juvenility),b2,14m-36m (juvenility),2.08,3.02,0.94,0,0.94,2.08,0.69,0,0,0.08,0,0,0,0,0.17,7.42,0.42,0,2.67,1,0.92,2.33,0.397,2.33,1.67,1.33,1,1.67,1.33,1.67,1.33,1,1.67,1.33,1.33,1,2
P2,Nabble,a1,male,c1,Macaca_arctoides,d2,Wild,f2,3,o2,2,e2,2,g2,2,h1,1,n2,2,i1,2,m3,3,j2,14m-36m (juvenility),b2,14m-36m (juvenility),2.02,3.26,1.24,0,1.24,2.02,0.62,0.17,1.17,0.83,1,0,1.17,1.08,2.92,6.25,2.58,0,0.17,0.5,0,0,0.229,4.67,3.33,4.67,2.67,3,3.67,5,4.33,4.67,3,4.33,4.67,2,3.67
P6,Oregano,a1,male,c2,Macaca_assamensis,d2,Wild,f2,3,o2,2,e2,2,g3,3,h3,3,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b3,3y-8y (adolescence),3.32,5.95,2.63,0,2.63,3.32,0.56,1.42,0.25,1.17,0.5,0.25,1.33,1.58,3.17,16.5,4.33,0.08,1,2.67,0.17,2.17,0.541,2,2,2,1.33,1,2,1,1.33,1.33,2.67,2.33,2,1.67,2
P6,Peanut,a1,male,c2,Macaca_assamensis,d2,Wild,f1,3,o4,NA,e1,1,g3,3,h1,1,n3,NA,i1,2,m2,2,j1,0m-14m (infancy),b3,3y-8y (adolescence),1.04,7.36,6.32,1.32,5,2.36,0.32,0.08,0,1.17,0.83,0,0.08,0,3.33,14,5.25,0.08,2.75,5.33,0.58,2.17,0.82,1.33,1.33,1.33,1,1,1.33,1,1,1.33,1.67,2,1.33,1.33,1.33
P7,Peggy,a2,female,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h3,3,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),5.02,10.36,5.34,0.34,5,5.36,0.52,0,0,0,0.29,0,0.1,0,1.65,3.58,1.74,0.1,2.03,4.84,0.19,0.19,0.593,1.33,2.33,1,1.67,1,1.33,2.67,1.33,1,1.33,1.33,1,1.67,1
P4,Pepe,a1,male,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e1,1,g1,1,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b3,3y-8y (adolescence),0.08,5.59,5.51,0.51,5,0.59,0.11,0,0,0,0,0,0.08,0.24,1.14,4.22,1.62,0,4.62,3.81,0.65,1.46,0.709,1,1.67,1,1,1,1,1,1.67,1,1.33,1,1,1.33,1
P2,Prince,a1,male,c1,Macaca_arctoides,d1,Captive conceived,f3,1,o1,1,e1,1,g1,1,h1,1,n2,2,i2,1,m1,1,j1,0m-14m (infancy),b3,3y-8y (adolescence),born at the center,8,8,3,5,3,0.38,0,0,0,0,0,0,1,3.08,14.42,7.42,0.25,2.08,3.33,0.42,0,0.687,1.33,1.67,1,1,1.33,1,2.67,1,1,1,1,1,1,1
BP1,Purse,a2,female,c4,Macaca_leonina,d2,Wild,f1,3,o4,NA,e2,2,g2,2,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b3,3y-8y (adolescence),0.33,7.19,6.86,1.86,5,2.19,0.3,0.17,0,0,0.17,0.33,0,0,5.25,9.17,5.75,0.33,0.5,1.67,0.25,0,0.596,1.33,2,1,1,1,1.67,3,2.67,1,1.67,1.33,1,1.67,1
P2,Queen,a2,female,c1,Macaca_arctoides,d1,Captive conceived,f3,1,o1,1,e1,1,g1,1,h1,1,n2,2,i2,1,m1,1,j1,0m-14m (infancy),b4,8y-15y (adulthood),born at the center,14.96,14.96,9.96,5,9.96,0.67,0.08,0,0,0,0,0,0,0.92,5.42,4.42,0.17,4.42,1.5,0.17,0,0.436,1.33,1.67,1,1,1,1.33,2.33,1.33,1,1.33,1,1.33,1.33,1.33
P5,Red,a1,male,c5,Macaca_mulatta,d2,Wild,f1,3,o4,NA,e2,2,g3,3,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b3,3y-8y (adolescence),1,6.48,5.48,0.48,5,1.48,0.23,0,0,0.08,0,0,0,0.42,1.08,7.42,1.33,0,0.92,0.67,0.17,0.75,0,3.33,2.67,1,1,1.33,1.67,2,2.33,1.33,2,1,2.67,1,1.33
